Receipt No.,Completion Time,Details,Transaction Status,Paid In,Withdrawn,Balance
TCR3A5G4R1,2025-03-27 10:50:00.010,of Credit Party,Completed,1013.0,,1013.0
TCQ86WVNPG,2025-03-26 16:09:59.990,,Completed,,-200.0,0.0
TCQ86WVNPG,2025-03-26 16:09:59.990,of Credit Party,Completed,200.0,,200.0
TCP01MMI7A,2025-03-25 12:40:00.019,,Completed,,-90.0,0.0
TCP01MMI7A,2025-03-25 12:40:00.019,,Completed,,-10000.0,90.0
TCP01MMI7A,2025-03-25 12:40:00.019,of Credit Party,Completed,351.45,,10090.0
TCP81MJ9IY,2025-03-25 12:40:00.019,,Completed,,-1602.45,9738.55
TCP41MIP08,2025-03-25 12:40:00.019,,Completed,11341.0,,11341.0
TCP415P7YM,2025-03-25 10:38:00.038,,Completed,,-1000.0,0.0
TCP415P7YM,2025-03-25 10:38:00.038,of Credit Party,Completed,1000.0,,1000.0
TCO4YT7NRO,2025-03-24 21:11:59.971,,Completed,,-13.0,0.0
TCO4YT7NRO,2025-03-24 21:11:59.971,,Completed,,-680.0,13.0
TCO4YT7NRO,2025-03-24 21:11:59.971,of Credit Party,Completed,586.58,,693.0
TCM8OHNZTK,2025-03-22 16:02:00.038,,Completed,,-200.0,106.42
TCM9NGCC29,2025-03-22 11:50:00.038,,Completed,,-25.0,306.42
TCM9NGCC29,2025-03-22 11:50:00.038,,Completed,,-3000.0,331.42
TCM3NFU6HH,2025-03-22 11:46:00.019,,Completed,,-3705.0,3331.42
TCJ0AER19O,2025-03-19 12:49:59.981,,Completed,,-40.0,7036.42
TCJ8AE3XX0,2025-03-19 12:45:59.962,,Completed,,-199.0,7076.42
TCJ6AB9HT0,2025-03-19 12:24:59.990,,Completed,,-400.0,7275.42
TCJ1AB2YBN,2025-03-19 12:24:00.029,Customer Transfer of Funds Charge,Completed,,-13.0,7675.42
TCJ1AB2YBN,2025-03-19 12:24:00.029,Customer Transfer to - 2547******743 DENNIS WAMURANGA,Completed,,-750.0,7688.42
TCJ4AAPTEQ,2025-03-19 12:20:59.971,Merchant Payment Online to 110174 - Quick Mart Rongai Express,Completed,,-4354.0,8438.42
TCJ3AA3BLN,2025-03-19 12:17:00.038,"Receive International Transfer From 573388 - TERRAPAY MONEY TRANSFER SERVICES
(KENYA) LIMITED. Original conversation ID is TPTW000125114791.",Completed,10698.0,,12792.42
TCJ5A2CGRX,2025-03-19 11:19:59.981,Transfer from Bank 517819 - IM BANK LIMITED- APP to Customer via API,Completed,2000.0,,2094.42
TCH71U8WDX,2025-03-17 13:39:00.000,Customer Transfer of Funds Charge,Completed,,-7.0,94.42
TCH71U8WDX,2025-03-17 13:39:00.000,Customer Transfer to - 07******722 BRIAN KARIMI,Completed,,-230.0,101.42
TCF5UMBPMP,2025-03-15 22:02:00.038,Customer Transfer of Funds Charge,Completed,,-13.0,331.42
TCF5UMBPMP,2025-03-15 22:02:00.038,Customer Transfer to - 2547******651 NANCY OKOTH,Completed,,-1000.0,344.42
TCF6SMX9NG,2025-03-15 16:09:59.990,Customer Transfer of Funds Charge,Completed,,-13.0,1344.42
TCF6SMX9NG,2025-03-15 16:09:59.990,Customer Transfer to - 2547******472 DORCAS NZILI,Completed,,-530.0,1357.42
TCF6SMU14G,2025-03-15 16:09:59.990,Customer Transfer of Funds Charge,Completed,,-53.0,1887.42
TCF6SMU14G,2025-03-15 16:09:59.990,Customer Transfer to - 2547******472 DORCAS NZILI,Completed,,-3500.0,1940.42
TCF2RVDW8G,2025-03-15 13:12:59.962,Merchant Payment Online to 7862004 - Art Caffe Market Naivasha,Completed,,-2160.0,5440.42
TCF0RV2ZKU,2025-03-15 13:11:00.038,OD Loan Repayment to 232323 - M-PESA Overdraw,Completed,,-399.58,7600.42
TCF9RV337N,2025-03-15 13:11:00.038,Transfer from Bank 517819 - IM BANK LIMITED- APP to Customer via API,Completed,8000.0,,8000.0
TCD8KNW6Y8,2025-03-13 19:52:59.981,Merchant Payment Fuliza M-Pesa Online to 7188373 - PURE FRESH RONGAI STIMVAK,Completed,,-200.0,0.0
TCD8KNW6Y8,2025-03-13 19:52:59.981,OverDraft of Credit Party,Completed,200.0,,200.0
TCD9KCNVBR,2025-03-13 19:09:59.990,Customer Transfer Fuliza MPesa to - 2547******915 CHARLES NDEREBA,Completed,,-100.0,0.0
TCD9KCNVBR,2025-03-13 19:09:59.990,OverDraft of Credit Party,Completed,100.0,,100.0
TCD5KAWQX9,2025-03-13 19:03:00.000,Merchant Payment Fuliza M-Pesa Online to 7932003 - Alfred Mutembei Kagea,Completed,,-30.0,0.0
TCD5KAWQX9,2025-03-13 19:03:00.000,OverDraft of Credit Party,Completed,30.0,,30.0
TCD8K8LTXM,2025-03-13 18:53:00.038,"Merchant Payment Fuliza M-Pesa Online to 6425769 -
BRIMAR WATER KIOSK 2",Completed,,-10.0,0.0
TCD8K8LTXM,2025-03-13 18:53:00.038,OverDraft of Credit Party,Completed,10.0,,10.0
TCD6K8E4UU,2025-03-13 18:51:59.990,Customer Transfer of Funds Charge,Completed,,-7.0,0.0
TCD6K8E4UU,2025-03-13 18:51:59.990,Customer Transfer Fuliza MPesa to - 07******722 BRIAN KARIMI,Completed,,-120.0,7.0
TCD6K8E4UU,2025-03-13 18:51:59.990,OverDraft of Credit Party,Completed,55.62,,127.0
TCD0JA77AC,2025-03-13 15:40:59.981,Customer Transfer to - 2547******688 NAOMI MUTURIA,Completed,,-20.0,71.38
TCD8J8JR1E,2025-03-13 15:29:00.010,Merchant Payment Online to 491847 -            JANDEE GENERAL STORES,Completed,,-50.0,91.38
TCC7E284QD,2025-03-12 12:45:59.962,Customer Transfer of Funds Charge,Completed,,-7.0,141.38
TCC7E284QD,2025-03-12 12:45:59.962,Customer Transfer to - 07******636 MILKA NYAKWEBA,Completed,,-120.0,148.38
TCC2DT8PIO,2025-03-12 11:44:59.971,Merchant Payment Online to 7605335 - VICTORY FARMS - RONGAI,Completed,,-766.0,268.38
TCC1DT6RCT,2025-03-12 11:44:59.971,OD Loan Repayment to 232323 - M-PESA Overdraw,Completed,,-1465.62,1034.38
TCC3DT6HWL,2025-03-12 11:44:59.971,Transfer from Bank 517819 - IM BANK LIMITED- APP to Customer via API,Completed,2500.0,,2500.0
TCA46QH9JC,2025-03-10 19:02:00.038,Pay Bill Charge,Completed,,-10.0,0.0
TCA46QH9JC,2025-03-10 19:02:00.038,"Pay Bill Online Fuliza M-Pesa to 888880 - KPLC PREPAID Acc.
14467012614",Completed,,-700.0,10.0
TCA46QH9JC,2025-03-10 19:02:00.038,,Completed,710.0,,710.0
TC76T89WP8,2025-03-07 22:14:00.010,Charge,Completed,,-48.0,0.0
TC76T89WP8,2025-03-07 22:14:00.010,,Completed,,-10000.0,48.0
TC76T89WP8,2025-03-07 22:14:00.010,,Completed,729.22,,10048.0
TC72T7ZN80,2025-03-07 22:12:00.000,,Completed,,-1973.22,9318.78
TC72T7ZBBO,2025-03-07 22:12:00.000,,Completed,11292.0,,11292.0
TC63MLELZ5,2025-03-06 16:47:00.038,,Completed,,-33.0,0.0
TC63MLELZ5,2025-03-06 16:47:00.038,,Completed,,-2500.0,33.0
TC63MLELZ5,2025-03-06 16:47:00.038,,Completed,1953.68,,2533.0
TC63MK7ISD,2025-03-06 16:39:00.000,Charge,Completed,,-5.0,579.32
TC63MK7ISD,2025-03-06 16:39:00.000,,Completed,,-200.0,584.32
TC58JHM0MS,2025-03-05 21:11:00.010,Charge,Completed,,-42.0,784.32
TC58JHM0MS,2025-03-05 21:11:00.010,,Completed,,-5010.0,826.32
TC56JHHJJK,2025-03-05 21:11:00.010,,Completed,3400.0,,5836.32
TC50JH7AFM,2025-03-05 21:09:00.000,,Completed,0.0,,2436.32
TC56JGOYGC,2025-03-05 21:06:59.990,Charge,Completed,,-42.0,2436.32
TC56JGOYGC,2025-03-05 21:06:59.990,,Completed,,-6000.0,2478.32
TC53JGADPZ,2025-03-05 21:04:59.981,,Completed,7000.0,,8478.32
TC59I45417,2025-03-05 17:37:00.019,,Completed,,-53.0,1478.32
TC59I45417,2025-03-05 17:37:00.019,,Completed,,-2880.0,1531.32
TC50GTF34S,2025-03-05 12:36:59.962,Charge,Completed,,-5.0,4411.32
TC50GTF34S,2025-03-05 12:36:59.962,,Completed,,-500.0,4416.32
TC41D3V9N7,2025-03-04 16:45:00.029,,Completed,4280.0,,4916.32
TC294PN4V7,2025-03-02 19:54:00.029,Charge,Completed,,-25.0,636.32
TC294PN4V7,2025-03-02 19:54:00.029,,Completed,,-3000.0,661.32
TC2825YVMY,2025-03-02 10:47:00.038,,Completed,,-1254.68,3661.32
TC2925YMYH,2025-03-02 10:47:00.038,,Completed,4916.0,,4916.0
TC13YM4U85,2025-03-01 18:35:00.038,Charge,Completed,,-20.0,0.0
TC13YM4U85,2025-03-01 18:35:00.038,,Completed,,-1688.0,20.0
TC13YM4U85,2025-03-01 18:35:00.038,,Completed,1242.25,,1708.0
TC14Y16WB0,2025-03-01 16:48:59.962,,Completed,,-7.0,465.75
TC14Y16WB0,2025-03-01 16:48:59.962,,Completed,,-220.0,472.75
TC11XYATW3,2025-03-01 16:32:00.010,,Completed,,-149.0,692.75
TC19XXNY1Z,2025-03-01 16:29:00.038,,Completed,,-1355.0,841.75
TC17XU408R,2025-03-01 16:07:00.019,,Completed,,-1803.25,2196.75
TC17XU3YRZ,2025-03-01 16:07:00.019,,Completed,4000.0,,4000.0
TC19X8XK3R,2025-03-01 13:56:00.038,,Completed,,-33.0,0.0
TC19X8XK3R,2025-03-01 13:56:00.038,,Completed,,-1600.0,33.0
TC19X8XK3R,2025-03-01 13:56:00.038,,Completed,1633.0,,1633.0
TBS4RCEWYU,2025-02-28 09:58:00.019,Customer Transfer of Funds Charge,Completed,,-53.0,0.0
TBS4RCEWYU,2025-02-28 09:58:00.019,Customer Transfer Fuliza MPesa to - 2547******885 SHALLINE ONTIRI,Completed,,-3000.0,53.0
TBS4RCEWYU,2025-02-28 09:58:00.019,OverDraft of Credit Party,Completed,152.39,,3053.0
TBS6RC531S,2025-02-28 09:56:59.971,Transfer from Bank 517819 - IM BANK LIMITED- APP to Customer via API,Completed,2832.0,,2900.61
TBR9NZ1G9P,2025-02-27 15:04:59.981,Customer Transfer of Funds Charge,Completed,,-13.0,68.61
TBR9NZ1G9P,2025-02-27 15:04:59.981,Customer Transfer to - 07******636 MILKA NYAKWEBA,Completed,,-650.0,81.61
TBR1NJBY1D,2025-02-27 13:23:00.010,Customer Transfer of Funds Charge,Completed,,-7.0,731.61
TBR1NJBY1D,2025-02-27 13:23:00.010,Customer Transfer to - 2547******595 SARAH MURIGI,Completed,,-290.0,738.61
TBQ8ID9DLO,2025-02-26 11:17:00.010,Pay Bill Charge,Completed,,-16.0,1028.61
TBQ8ID9DLO,2025-02-26 11:17:00.010,Pay Bill Online to 505000 - OLD MUTUAL LIFE ASSURANCE KENYA LIMITED. Acc. OMU000329285,Completed,,-5000.0,1044.61
TBQ9ID4P77,2025-02-26 11:15:59.962,Pay Bill Charge,Completed,,-20.0,6044.61
TBQ9ID4P77,2025-02-26 11:15:59.962,Pay Bill Online to 850436 - HAZINA SACCO LTD Acc. 37325314DEP,Completed,,-2500.0,6064.61
TBQ0IBWQ9E,2025-02-26 11:08:00.010,Pay Bill Charge,Completed,,-20.0,8564.61
TBQ0IBWQ9E,2025-02-26 11:08:00.010,Pay Bill Online to 850436 - HAZINA SACCO LTD Acc. 33826744DEP,Completed,,-2500.0,8584.61
TBQ6I314FA,2025-02-26 10:07:59.981,Pay Bill Charge,Completed,,-48.0,11084.61
TBQ6I314FA,2025-02-26 10:07:59.981,Pay Bill Online to 400200 - Co- operative Bank Money Transfer Acc. 01116572103600,Completed,,-8000.0,11132.61
TBQ7HNPQXN,2025-02-26 08:17:59.971,OD Loan Repayment to 232323 - M-PESA Overdraw,Completed,,-867.39,19132.61
TBQ7HNPN7H,2025-02-26 08:17:59.971,Transfer from Bank 517819 - IM BANK LIMITED- APP to Customer via API,Completed,20000.0,,20000.0
TBP7EFEM4X,2025-02-25 13:32:59.971,Pay Bill Online Fuliza M-Pesa to 200200 - Safaricom Post Paid Acc. 254729920461,Completed,,-1000.0,0.0
TBP7EFEM4X,2025-02-25 13:32:59.971,OverDraft of Credit Party,Completed,858.8,,1000.0
TBP2DWFACK,2025-02-25 11:21:59.990,OD Loan Repayment to 232323 - M-PESA Overdraw,Completed,,-958.8,141.2
TBP1DWF871,2025-02-25 11:21:59.990,Salary Payment from 504900 - NCBA BANK via API. Original conversation ID is FTC250225DFVQ.,Completed,1100.0,,1100.0
TBN87E3VE4,2025-02-23 19:54:00.029,Merchant Payment Fuliza M-Pesa Online to 7188373 - PURE FRESH RONGAI STIMVAK,Completed,,-200.0,0.0
TBN87E3VE4,2025-02-23 19:54:00.029,OverDraft of Credit Party,Completed,200.0,,200.0
TBN87DYZJA,2025-02-23 19:52:59.981,OD Loan Repayment to 232323 - M-PESA Overdraw,Completed,,-869.0,0.0
TBN27DZ2JG,2025-02-23 19:52:59.981,Transfer from Bank 517819 - IM BANK LIMITED- APP to Customer via API,Completed,869.0,,869.0
TBL3WW8B7X,2025-02-21 17:50:00.038,Merchant Payment Fuliza M-Pesa Online to 5216944 - MAJID AL FUTTAIM HYPERMARKETS LTD,Completed,,-7327.0,0.0
TBL3WW8B7X,2025-02-21 17:50:00.038,OverDraft of Credit Party,Completed,1574.05,,7327.0
TBL0WUM5ZQ,2025-02-21 17:41:00.038,Transfer from Bank 517819 - IM BANK LIMITED- APP to Customer via API,Completed,2000.0,,5752.95
TBL5WHWXER,2025-02-21 16:25:59.981,OD Loan Repayment to 232323 - M-PESA Overdraw,Completed,,-229.05,3752.95
TBL2WHWVB4,2025-02-21 16:25:59.981,Transfer from Bank 517819 - IM BANK LIMITED- APP to Customer via API,Completed,3982.0,,3982.0
TBL5VSNLUH,2025-02-21 13:32:59.971,Pay Bill Charge,Completed,,-10.0,0.0
TBL5VSNLUH,2025-02-21 13:32:59.971,"Pay Bill Online Fuliza M-Pesa to 888880 - KPLC PREPAID Acc.
14467012614",Completed,,-1000.0,10.0
TBL5VSNLUH,2025-02-21 13:32:59.971,OverDraft of Credit Party,Completed,226.78,,1010.0
TBG59TOD5F,2025-02-16 13:41:00.010,Customer Transfer of Funds Charge,Completed,,-7.0,783.22
TBG59TOD5F,2025-02-16 13:41:00.010,Customer Transfer to - 01******452 NAncy okoth,Completed,,-500.0,790.22
TBE0YWO7BM,2025-02-14 11:12:00.029,Merchant Payment Online to 7605335 - VICTORY FARMS - RONGAI,Completed,,-1086.0,1290.22
TBD1VT7WH5,2025-02-13 17:03:59.990,Customer Transfer of Funds Charge,Completed,,-53.0,2376.22
TBD1VT7WH5,2025-02-13 17:03:59.990,Customer Transfer to - 07******544 MARY NASIMIYU,Completed,,-3000.0,2429.22
TBD0UJ1ZGY,2025-02-13 11:46:59.981,Merchant Payment Online to 5216942 - MAJID AL FUTTAIM HYPERMARKETS LTD,Completed,,-3177.0,5429.22
TBC2SL7KOW,2025-02-12 20:26:59.971,Merchant Payment Online to 5216948 - MAJID AL FUTTAIM HYPERMARKETS LTD,Completed,,-467.0,8606.22
TBC0SHCLGG,2025-02-12 20:10:00.019,Customer Transfer of Funds Charge,Completed,,-78.0,9073.22
TBC0SHCLGG,2025-02-12 20:10:00.019,Customer Transfer to - 2547******365 CATHERINE KIRAGU,Completed,,-6448.0,9151.22
TBC6R0E8Y8,2025-02-12 15:40:59.981,Merchant Payment Online to 7654009 -    NIGEL      OUKO,Completed,,-1700.0,15599.22
TBC9R0BO1V,2025-02-12 15:40:00.019,Customer Transfer of Funds Charge,Completed,,-33.0,17299.22
TBC9R0BO1V,2025-02-12 15:40:00.019,Customer Transfer to - 2547******743 DENNIS WAMURANGA,Completed,,-1650.0,17332.22
TBA3J2OYMR,2025-02-10 19:07:00.019,Merchant Payment Online to 7188373 - PURE FRESH RONGAI STIMVAK,Completed,,-200.0,18982.22
TB828Z3A2E,2025-02-08 14:53:00.010,Customer Transfer of Funds Charge,Completed,,-7.0,19182.22
TB828Z3A2E,2025-02-08 14:53:00.010,Customer Transfer to - 07******636 MILKA NYAKWEBA,Completed,,-500.0,19189.22
TB8383LUQF,2025-02-08 11:30:59.990,Merchant Payment Online to 5216944 - MAJID AL FUTTAIM HYPERMARKETS LTD,Completed,,-754.0,19689.22
TB783U9NNU,2025-02-07 12:58:59.981,Pay Bill Charge,Completed,,-48.0,20443.22
TB783U9NNU,2025-02-07 12:58:59.981,Pay Bill Online to 542542 - IM BANK C2B Acc. 00304182876150,Completed,,-10000.0,20491.22
TB69WR16AD,2025-02-06 03:11:59.971,Merchant Payment Online to 7188373 - PURE FRESH RONGAI STIMVAK,Completed,,-200.0,30491.22
TB52T1IM84,2025-02-05 10:54:00.029,Customer Transfer of Funds Charge,Completed,,-108.0,30691.22
TB52T1IM84,2025-02-05 10:54:00.029,Customer Transfer to - 2547******326 OMONDI LOVELL,Completed,,-30000.0,30799.22
TB46RAYV22,2025-02-04 20:28:59.981,Business Payment from 300600 - Equity Bulk Account via API. Original conversation ID is EQAB8D08C73C38E.,Completed,59920.0,,60799.22
TB16EL70U4,2025-02-01 23:51:59.962,Pay Bill Charge,Completed,,-42.0,879.22
TB16EL70U4,2025-02-01 23:51:59.962,Pay Bill Online to 247247 - Equity Paybill Account Acc. 1260184676906,Completed,,-5010.0,921.22
TB15EL5L1X,2025-02-01 23:51:00.000,Pay Bill Charge,Completed,,-42.0,5931.22
TB15EL5L1X,2025-02-01 23:51:00.000,Pay Bill Online to 247247 - Equity Paybill Account Acc. 0510173643067,Completed,,-6000.0,5973.22
TB18DOX25Q,2025-02-01 20:01:00.019,"Receive International Transfer From 573388 - TERRAPAY MONEY TRANSFER SERVICES
(KENYA) LIMITED. Original conversation ID is TPTW000119413995.",Completed,10677.0,,11973.22
TB14CCHPSU,2025-02-01 16:12:00.000,Customer Transfer of Funds Charge,Completed,,-53.0,1296.22
TB14CCHPSU,2025-02-01 16:12:00.000,Customer Transfer to - 01******666 OLIVER MUDOGO,Completed,,-3100.0,1349.22
TB10CC3BZC,2025-02-01 16:09:00.029,Transfer from Bank 517819 - IM BANK LIMITED- APP to Customer via API,Completed,4000.0,,4449.22
TAV570SHE9,2025-01-31 13:38:00.038,Customer Transfer to - 2547******655 JANE MWORIA,Completed,,-80.0,449.22
TAV470EUUI,2025-01-31 13:36:00.029,Customer Transfer of Funds Charge,Completed,,-7.0,529.22
TAV470EUUI,2025-01-31 13:36:00.029,Customer Payment to Small Business to - 2547******796 SAMUEL NJOROGE,Completed,,-110.0,536.22
TAU94E2HGV,2025-01-30 19:34:59.981,Merchant Payment Online to 7188373 - PURE FRESH RONGAI STIMVAK,Completed,,-200.0,646.22
TAS7STOOG1,2025-01-28 11:53:00.010,Customer Transfer of Funds Charge,Completed,,-13.0,846.22
TAS7STOOG1,2025-01-28 11:53:00.010,Customer Transfer to - 07******636 MILKA NYAKWEBA,Completed,,-580.0,859.22
TAS8SLQCGK,2025-01-28 10:54:00.029,Merchant Payment Online to 7605335 - VICTORY FARMS - RONGAI,Completed,,-620.0,1439.22
TAS8SLGLAW,2025-01-28 10:52:00.019,OD Loan Repayment to 232323 - M-PESA Overdraw,Completed,,-1940.78,2059.22
TAS7SLGHKF,2025-01-28 10:52:00.019,Transfer from Bank 517819 - IM BANK LIMITED- APP to Customer via API,Completed,4000.0,,4000.0
TAR1OX6CIX,2025-01-27 13:09:00.029,"Pay Bill Fuliza M-Pesa to 200200
- Safaricom Post Paid Acc. 0729920461",Completed,,-1000.0,0.0
TAR1OX6CIX,2025-01-27 13:09:00.029,OverDraft of Credit Party,Completed,1000.0,,1000.0
TAP2H3GRUY,2025-01-25 15:02:59.971,Merchant Payment Fuliza M-Pesa Online to 7188373 - PURE FRESH RONGAI STIMVAK,Completed,,-200.0,0.0
TAP2H3GRUY,2025-01-25 15:02:59.971,OverDraft of Credit Party,Completed,200.0,,200.0
TAO1CFQAS5,2025-01-24 13:41:00.010,Pay Bill Charge,Completed,,-48.0,0.0
TAO1CFQAS5,2025-01-24 13:41:00.010,Pay Bill Online Fuliza M-Pesa to 247247 - Equity Paybill Account Acc. 0796212105,Completed,,-9700.0,48.0
TAO1CFQAS5,2025-01-24 13:41:00.010,OverDraft of Credit Party,Completed,715.62,,9748.0
TAO7CF3IVN,2025-01-24 13:36:59.990,OD Loan Repayment to 232323 - M-PESA Overdraw,Completed,,-967.62,9032.38
TAO7CF3I3L,2025-01-24 13:36:59.990,Transfer from Bank 517819 - IM BANK LIMITED- APP to Customer via API,Completed,10000.0,,10000.0
TAO0C3AUZA,2025-01-24 12:13:00.019,Merchant Payment Fuliza M-Pesa Online to 7940897 - MOMMIES' CHOICE PRODUCTS LLP,Completed,,-2900.0,0.0
TAO0C3AUZA,2025-01-24 12:13:00.019,OverDraft of Credit Party,Completed,958.03,,2900.0
TAN28W5HF0,2025-01-23 16:30:59.962,Pay Bill Charge,Completed,,-34.0,1941.97
TAN28W5HF0,2025-01-23 16:30:59.962,Pay Bill Online to 329329 - C2B Standard Chartered Bank Acc. 0100409937400,Completed,,-4800.0,1975.97
TAN08TI49C,2025-01-23 16:12:00.000,Transfer from Bank 517819 - IM BANK LIMITED- APP to Customer via API,Completed,5000.0,,6775.97
TAM75G284R,2025-01-22 18:56:59.971,Customer Transfer of Funds Charge,Completed,,-33.0,1775.97
TAM75G284R,2025-01-22 18:56:59.971,Customer Transfer to - 2547******090 VIOLET JEPCHIRCHIR,Completed,,-2030.0,1808.97
TAM65FN7D8,2025-01-22 18:54:59.962,Transfer from Bank 517819 - IM BANK LIMITED- APP to Customer via API,Completed,3000.0,,3838.97
TAM5520P85,2025-01-22 17:46:00.019,OD Loan Repayment to 232323 - M-PESA Overdraw,Completed,,-1161.03,838.97
TAM8520NNK,2025-01-22 17:46:00.019,Transfer from Bank 517819 - IM BANK LIMITED- APP to Customer via API,Completed,2000.0,,2000.0
TAM04S0RIS,2025-01-22 16:43:59.981,Merchant Payment Fuliza M-Pesa Online to 7654009 -    NIGEL OUKO,Completed,,-1700.0,0.0
TAM04S0RIS,2025-01-22 16:43:59.981,OverDraft of Credit Party,Completed,1149.53,,1700.0
TAM54MV9AJ,2025-01-22 16:07:00.019,Customer Transfer of Funds Charge,Completed,,-53.0,550.47
TAM54MV9AJ,2025-01-22 16:07:00.019,Customer Transfer to - 2547******743 DENNIS WAMURANGA,Completed,,-3000.0,603.47
TAM54MQ2ER,2025-01-22 16:05:59.971,OD Loan Repayment to 232323 - M-PESA Overdraw,Completed,,-1396.53,3603.47
TAM84MPPV6,2025-01-22 16:05:59.971,Transfer from Bank 517819 - IM BANK LIMITED- APP to Customer via API,Completed,5000.0,,5000.0
TAM53WY5DX,2025-01-22 12:53:00.038,Merchant Payment Fuliza M-Pesa Online to 7375235 - The Mothership Village,Completed,,-3500.0,0.0
TAM53WY5DX,2025-01-22 12:53:00.038,OverDraft of Credit Party,Completed,1382.7,,3500.0
TAL5YTLG7D,2025-01-21 13:18:59.990,Funds received from - 2547******090 VIOLET JEPCHIRCHIR,Completed,2030.0,,2117.3
TAL5Y8XX8T,2025-01-21 10:45:00.029,Pay Bill Charge,Completed,,-48.0,87.3
TAL5Y8XX8T,2025-01-21 10:45:00.029,Pay Bill Online to 400200 - Co- operative Bank Money Transfer Acc. 01116572103600,Completed,,-8000.0,135.3
TAL1Y8LU1R,2025-01-21 10:43:00.019,Transfer from Bank 517819 - IM BANK LIMITED- APP to Customer via API,Completed,1000.0,,8135.3
TAL4Y8AJ80,2025-01-21 10:41:00.010,Transfer from Bank 517819 - IM BANK LIMITED- APP to Customer via API,Completed,5000.0,,7135.3
TAJ8SG2O8A,2025-01-19 20:14:00.038,Merchant Payment Online to 7188373 - PURE FRESH RONGAI STIMVAK,Completed,,-260.0,2135.3
TAJ1QYWO19,2025-01-19 15:04:59.981,Customer Transfer to - 2547******287 Emmanuel Wafula,Completed,,-100.0,2395.3
TAH0K72DN0,2025-01-17 20:19:59.981,Customer Transfer of Funds Charge,Completed,,-7.0,2495.3
TAH0K72DN0,2025-01-17 20:19:59.981,Customer Transfer to - 07******636 MILKA NYAKWEBA,Completed,,-500.0,2502.3
TAH9JVIWBX,2025-01-17 19:30:59.962,Customer Transfer to - 07******741 HANS MISANGO,Completed,,-100.0,3002.3
TAE14PRGAJ,2025-01-14 09:47:59.971,Customer Transfer of Funds Charge,Completed,,-7.0,3102.3
TAE14PRGAJ,2025-01-14 09:47:59.971,Customer Transfer to - 01******452 NAncy okoth,Completed,,-200.0,3109.3
TAD62X5TWA,2025-01-13 19:18:00.029,Transfer from Bank 517819 - IM BANK LIMITED- APP to Customer via API,Completed,2400.0,,3309.3
TA98L84LD6,2025-01-09 19:12:59.962,Pay Bill Charge,Completed,,-20.0,909.3
TA98L84LD6,2025-01-09 19:12:59.962,Pay Bill Online to 888880 - KPLC PREPAID Acc. 14467012614,Completed,,-2000.0,929.3
TA96L81O1G,2025-01-09 19:12:00.000,Transfer from Bank 517819 - IM BANK LIMITED- APP to Customer via API,Completed,2000.0,,2929.3
TA75ATNGUH,2025-01-07 12:51:59.990,Customer Transfer of Funds Charge,Completed,,-33.0,929.3
TA75ATNGUH,2025-01-07 12:51:59.990,Customer Transfer to - 2547******743 DENNIS WAMURANGA,Completed,,-2000.0,962.3
TA77A1XLXJ,2025-01-07 09:45:59.962,Pay Bill Charge,Completed,,-10.0,2962.3
TA77A1XLXJ,2025-01-07 09:45:59.962,Pay Bill Online to 888880 - KPLC PREPAID Acc. 14467012614,Completed,,-1000.0,2972.3
TA646WRGZS,2025-01-06 15:02:59.971,Merchant Payment Online to 693853 - KRCS Nairobi and Getrude Hospitals Shop,Completed,,-330.0,3972.3
TA615Z83UP,2025-01-06 11:21:59.990,Customer Transfer of Funds Charge,Completed,,-23.0,4302.3
TA615Z83UP,2025-01-06 11:21:59.990,Customer Transfer to - 07******970 Naomi choge,Completed,,-1500.0,4325.3
TA675YTGF3,2025-01-06 11:19:00.019,Transfer from Bank 517819 - IM BANK LIMITED- APP to Customer via API,Completed,4333.0,,5825.3
TA531FAWZZ,2025-01-05 09:00:59.962,Pay Bill Charge,Completed,,-10.0,1492.3
TA531FAWZZ,2025-01-05 09:00:59.962,Pay Bill Online to 850436 - HAZINA SACCO LTD Acc. 37325314DEP,Completed,,-1000.0,1502.3
TA561F0W3A,2025-01-05 08:59:00.038,Pay Bill Charge,Completed,,-10.0,2502.3
TA561F0W3A,2025-01-05 08:59:00.038,Pay Bill Online to 850436 - HAZINA SACCO LTD Acc. 33826744DEP,Completed,,-1000.0,2512.3
TA531EYVPN,2025-01-05 08:57:59.990,Pay Bill Charge,Completed,,-42.0,3512.3
TA531EYVPN,2025-01-05 08:57:59.990,Pay Bill Online to 247247 - Equity Paybill Account Acc. 1260184676906,Completed,,-5010.0,3554.3
TA561EVW12,2025-01-05 08:57:59.990,Pay Bill Charge,Completed,,-42.0,8564.3
TA561EVW12,2025-01-05 08:57:59.990,Pay Bill Online to 247247 - Equity Paybill Account Acc. 0510173643067,Completed,,-6000.0,8606.3
TA501ETHDQ,2025-01-05 08:57:00.029,Transfer from Bank 517819 - IM BANK LIMITED- APP to Customer via API,Completed,13000.0,,14606.3
TA37SMV94X,2025-01-03 11:37:00.019,Merchant Payment Online to 7375235 - The Mothership Village,Completed,,-2975.0,1606.3
TA20OV22QK,2025-01-02 12:35:00.038,Customer Transfer of Funds Charge,Completed,,-7.0,4581.3
TA20OV22QK,2025-01-02 12:35:00.038,Customer Transfer to - 01******452 NAncy okoth,Completed,,-200.0,4588.3
TA26OUXMB6,2025-01-02 12:33:59.990,OD Loan Repayment to 232323 - M-PESA Overdraw,Completed,,-511.7,4788.3
